file,line,tag,altKind,altValue
src/pages/AboutUs.jsx,65,img,generic,
src/pages/AboutUs.jsx,130,img,descriptive,HQ Aviation Hangar
src/pages/AboutUs.jsx,133,img,descriptive,The clubhouse
src/pages/AboutUs.jsx,136,img,descriptive,Aviation memorabilia
src/pages/AboutUs.jsx,139,img,descriptive,Expedition photos
src/pages/AboutUs.jsx,142,img,descriptive,Globe on desk
src/pages/AboutUs.jsx,145,img,descriptive,R66 cockpit
src/pages/AboutUs.jsx,155,img,descriptive,Captain Q on the South Pole expedition
src/pages/AboutUs.jsx,164,img,descriptive,Captain Quentin Smith
src/pages/AboutUs.jsx,204,img,descriptive,The HQ Aviation Clubhouse
src/pages/AboutUs.jsx,249,img,descriptive,HQ Aviation interior
src/pages/AboutUs.jsx,252,img,descriptive,HQ social events
src/pages/AboutUs.jsx,255,img,descriptive,Community gathering
src/pages/AboutUs.jsx,258,img,descriptive,R66 cockpit detail
src/pages/AboutUs.jsx,374,img,dynamic,svc.title
src/pages/AboutUs.jsx,493,img,dynamic,a.model
src/pages/AboutUs.jsx,523,img,descriptive,Helicopter expedition to Antarctica
src/pages/AboutUs.jsx,565,img,descriptive,Fleet of helicopters at the North Pole
src/pages/AboutUs.jsx,637,img,dynamic,logo.alt
src/pages/AboutUs.jsx,649,img,descriptive,Robinson Helicopter Company
src/pages/AboutUs.jsx,682,img,generic,
src/pages/AdvancedTraining.jsx,96,img,descriptive,HQ Aviation
src/pages/AdvancedTraining.jsx,369,img,descriptive,"Captain Quentin Smith, World Aerobatics Champion"
src/pages/AdvancedTraining.jsx,436,img,descriptive,"Captain Quentin Smith, HQ Aviation Founder"
src/pages/AircraftConsulting.jsx,98,img,descriptive,HQ Aviation
src/pages/AircraftConsulting.jsx,406,img,descriptive,HQ Aviation aircraft consulting
src/pages/AircraftH500.jsx,101,img,descriptive,HQ Aviation
src/pages/AircraftR22.jsx,96,img,descriptive,HQ Aviation
src/pages/AircraftR22.jsx,2162,Image,descriptive,Robinson R22 Helicopter
src/pages/AircraftR22.jsx,2278,img,descriptive,R22 cutout
src/pages/AircraftR22.jsx,2376,img,descriptive,R22 blueprint
src/pages/AircraftR22.jsx,2402,img,generic,
src/pages/AircraftR22.jsx,2433,img,dynamic,`${active.name
src/pages/AircraftR22.jsx,2564,img,dynamic,hero.alt || 'Captain Quentin Smith'
src/pages/AircraftR22.jsx,2584,img,dynamic,hero.alt || ''
src/pages/AircraftR22.jsx,2621,img,dynamic,img.alt || ''
src/pages/AircraftR22.jsx,2642,img,dynamic,lightbox.alt || ''
src/pages/AircraftR22.jsx,2839,img,generic,
src/pages/AircraftR44.jsx,104,img,descriptive,HQ Aviation
src/pages/AircraftR44.jsx,621,Image,descriptive,Robinson R44 Raven II
src/pages/AircraftR44.jsx,826,img,descriptive,HQ Aviation R44 fleet
src/pages/AircraftR44.jsx,945,img,dynamic,`R44 ${model.name
